,fraud_bool
903157,0
903158,0
903159,0
903160,0
903161,0
903162,0
903163,0
903164,0
903165,0
903166,0
903167,0
903168,0
903169,0
903170,0
903171,0
903172,0
903173,0
903174,0
903175,0
903176,1
903177,0
903178,0
903179,0
903180,0
903181,0
903182,0
903183,0
903184,0
903185,0
903186,0
903187,0
903188,0
903189,0
903190,0
903191,0
903192,0
903193,1
903194,0
903195,0
903196,0
903197,0
903198,0
903199,0
903200,0
903201,0
903202,0
903203,0
903204,0
903205,0
903206,0
903207,0
903208,0
903209,0
903210,0
903211,0
903212,0
903213,0
903214,0
903215,0
903216,0
903217,0
903218,0
903219,0
903220,0
903221,0
903222,0
903223,0
903224,0
903225,0
903226,0
903227,0
903228,0
903229,0
903230,0
903231,0
903232,0
903233,0
903234,0
903235,0
903236,0
903237,0
903238,0
903239,0
903240,0
903241,0
903242,0
903243,0
903244,0
903245,0
903246,0
903247,0
903248,0
903249,0
903250,0
903251,0
903252,0
903253,0
903254,0
903255,0
903256,0
903257,0
903258,0
903259,0
903260,0
903261,0
903262,0
903263,0
903264,0
903265,0
903266,0
903267,0
903268,0
903269,0
903270,0
903271,0
903272,0
903273,0
903274,1
903275,0
903276,0
903277,0
903278,0
903279,0
903280,0
903281,0
903282,0
903283,0
903284,0
903285,0
903286,1
903287,0
903288,0
903289,0
903290,0
903291,0
903292,0
903293,0
903294,0
903295,0
903296,0
903297,0
903298,0
903299,0
903300,0
903301,0
903302,0
903303,0
903304,0
903305,0
903306,0
903307,0
903308,0
903309,0
903310,0
903311,0
903312,0
903313,0
903314,0
903315,0
903316,0
903317,0
903318,0
903319,0
903320,0
903321,0
903322,0
903323,0
903324,0
903325,0
903326,0
903327,0
903328,0
903329,0
903330,0
903331,0
903332,0
903333,0
903334,0
903335,0
903336,0
903337,0
903338,0
903339,0
903340,0
903341,0
903342,0
903343,0
903344,0
903345,0
903346,0
903347,0
903348,0
903349,0
903350,0
903351,0
903352,0
903353,0
903354,0
903355,0
903356,0
903357,0
903358,0
903359,0
903360,0
903361,0
903362,0
903363,0
903364,0
903365,0
903366,0
903367,0
903368,1
903369,0
903370,0
903371,0
903372,0
903373,0
903374,0
903375,0
903376,0
903377,0
903378,0
903379,0
903380,0
903381,0
903382,0
903383,0
903384,0
903385,0
903386,0
903387,0
903388,1
903389,0
903390,0
903391,0
903392,0
903393,0
903394,0
903395,0
903396,0
903397,0
903398,0
903399,0
903400,0
903401,0
903402,0
903403,0
903404,0
903405,0
903406,0
903407,0
903408,0
903409,0
903410,0
903411,0
903412,0
903413,0
903414,0
903415,0
903416,0
903417,0
903418,0
903419,0
903420,0
903421,0
903422,0
903423,0
903424,0
903425,0
903426,0
903427,0
903428,0
903429,0
903430,0
903431,0
903432,0
903433,0
903434,0
903435,0
903436,0
903437,0
903438,0
903439,0
903440,0
903441,0
903442,0
903443,0
903444,0
903445,0
903446,0
903447,0
903448,0
903449,0
903450,0
903451,0
903452,0
903453,0
903454,0
903455,0
903456,0
903457,0
903458,0
903459,0
903460,0
903461,0
903462,0
903463,1
903464,0
903465,0
903466,0
903467,0
903468,0
903469,0
903470,0
903471,0
903472,0
903473,0
903474,0
903475,0
903476,0
903477,0
903478,0
903479,0
903480,0
903481,0
903482,0
903483,0
903484,0
903485,0
903486,0
903487,0
903488,0
903489,0
903490,0
903491,0
903492,0
903493,0
903494,0
903495,0
903496,0
903497,0
903498,0
903499,0
903500,0
903501,0
903502,1
903503,0
903504,0
903505,0
903506,0
903507,0
903508,0
903509,0
903510,0
903511,0
903512,0
903513,0
903514,0
903515,0
903516,0
903517,0
903518,0
903519,0
903520,0
903521,0
903522,0
903523,0
903524,0
903525,0
903526,0
903527,0
903528,0
903529,0
903530,0
903531,0
903532,0
903533,1
903534,0
903535,0
903536,0
903537,0
903538,0
903539,0
903540,0
903541,0
903542,0
903543,0
903544,0
903545,0
903546,0
903547,1
903548,0
903549,0
903550,0
903551,0
903552,0
903553,0
903554,0
903555,0
903556,0
903557,0
903558,0
903559,0
903560,0
903561,0
903562,0
903563,0
903564,0
903565,0
903566,0
903567,0
903568,0
903569,0
903570,0
903571,0
903572,0
903573,0
903574,0
903575,0
903576,0
903577,0
903578,0
903579,0
903580,0
903581,0
903582,0
903583,0
903584,0
903585,0
903586,0
903587,0
903588,0
903589,0
903590,0
903591,0
903592,0
903593,0
903594,0
903595,0
903596,0
903597,0
903598,0
903599,0
903600,0
903601,0
903602,0
903603,0
903604,0
903605,0
903606,0
903607,0
903608,0
903609,0
903610,0
903611,0
903612,0
903613,0
903614,0
903615,0
903616,0
903617,0
903618,0
903619,0
903620,0
903621,0
903622,0
903623,0
903624,0
903625,0
903626,0
903627,0
903628,0
903629,0
903630,0
903631,0
903632,0
903633,0
903634,0
903635,0
903636,0
903637,0
903638,0
903639,0
903640,0
903641,0
903642,0
903643,0
903644,0
903645,0
903646,0
903647,0
903648,0
903649,0
903650,0
903651,0
903652,0
903653,0
903654,0
903655,0
903656,0
